CustomerID,Recency,Frequency,Monetary,FirstPurchase,ProductDiversity,Country,TenureDays,AvgOrderValue,Churn,Segment,ChurnProb,CLV,CLVTier,RiskTier,RecommendedAction
12346,326,1,77183.6,2011-01-18 10:01:00,1,United Kingdom,326,77183.6,1,3,0.77,110692.75754919928,High CLV,High Risk,PRIORITIZE: proactive retention offer
12347,2,7,4310.0,2010-12-07 14:57:00,103,Other,367,615.7142857142857,0,0,0.01,8455.58583106267,High CLV,Low Risk,REWARD: early access / loyalty perks (already staying)
12348,75,4,1797.24,2010-12-16 19:09:00,22,Other,358,449.31,0,0,0.5033333333333333,3590.6234044914722,Mid CLV,Medium Risk,MONITOR: no action needed yet
12349,19,1,1757.55,2011-11-21 09:51:00,73,Italy,19,1757.55,0,0,0.02,42181.2,High CLV,Low Risk,REWARD: early access / loyalty perks (already staying)
12350,310,1,334.4,2011-02-02 16:01:00,17,Other,310,334.4,1,1,1.0,388.3354838709677,Low CLV,High Risk,"DO NOT INVEST: low value, unlikely to be saved profitably"
12352,36,8,2506.04,2011-02-16 12:33:00,59,Other,297,313.255,0,0,0.02666666666666667,6075.248484848485,High CLV,Low Risk,REWARD: early access / loyalty perks (already staying)
12353,204,1,89.0,2011-05-19 17:47:00,4,Other,204,89.0,1,1,0.99,158.6452762923351,Low CLV,High Risk,"DO NOT INVEST: low value, unlikely to be saved profitably"
12354,232,1,1079.4,2011-04-21 13:11:00,58,Spain,232,1079.4,1,1,0.8866666666666667,1889.0199637023595,Mid CLV,High Risk,MONITOR: no action needed yet
12355,214,1,459.4,2011-05-09 13:49:00,13,Other,214,459.4,1,1,0.98,788.5943162311652,Low CLV,High Risk,"DO NOT INVEST: low value, unlikely to be saved profitably"
12356,23,3,2811.43,2011-01-18 09:50:00,53,Portugal,326,937.1433333333333,0,0,0.5733333333333334,5415.081324011983,High CLV,Medium Risk,PRIORITIZE: proactive retention offer
12357,33,1,6207.67,2011-11-06 16:07:00,131,Switzerland,33,6207.67,0,0,0.04,135440.0727272727,High CLV,Low Risk,REWARD: early access / loyalty perks (already staying)
12358,2,2,1168.06,2011-07-12 10:04:00,13,Other,151,584.03,0,0,0.2833333333333333,5569.55761589404,High CLV,Low Risk,REWARD: early access / loyalty perks (already staying)
12359,58,4,6372.58,2011-01-12 12:43:00,214,Other,332,1593.145,0,0,0.07333333333333333,13820.053012048193,High CLV,Low Risk,REWARD: early access / loyalty perks (already staying)
12360,52,3,2662.06,2011-05-23 09:43:00,105,Other,201,887.3533333333334,0,0,0.16666666666666666,9535.737313432835,High CLV,Low Risk,REWARD: early access / loyalty perks (already staying)
12361,287,1,189.9,2011-02-25 13:51:00,10,Belgium,287,189.9,1,1,1.0,238.2020905923345,Low CLV,High Risk,"DO NOT INVEST: low value, unlikely to be saved profitably"
12362,3,10,5226.23,2011-02-17 10:30:00,201,Belgium,296,522.6229999999999,0,0,0.0033333333333333335,12712.451351351348,High CLV,Low Risk,REWARD: early access / loyalty perks (already staying)
12363,110,2,552.0,2011-04-11 13:29:00,23,Other,242,276.0,1,0,0.8,1026.4462809917356,Low CLV,High Risk,"DO NOT INVEST: low value, unlikely to be saved profitably"
12364,8,4,1313.1,2011-08-19 15:24:00,70,Belgium,112,328.275,0,0,0.05,8441.357142857143,High CLV,Low Risk,REWARD: early access / loyalty perks (already staying)
12365,291,2,641.38,2011-02-21 13:51:00,22,Other,291,320.69,1,1,0.7866666666666666,1008.6353311200422,Low CLV,High Risk,"DO NOT INVEST: low value, unlikely to be saved profitably"
12367,4,1,168.9,2011-12-05 16:48:00,11,Other,4,168.9,0,0,0.13333333333333333,4053.6000000000004,Mid CLV,Low Risk,MONITOR: no action needed yet
12370,51,4,3545.69,2010-12-14 12:58:00,143,Other,360,886.4225,0,0,0.14666666666666667,7091.380000000001,High CLV,Low Risk,REWARD: early access / loyalty perks (already staying)
12371,45,2,1887.96,2011-10-11 10:43:00,63,Switzerland,60,943.98,0,0,0.023333333333333334,22655.52,High CLV,Low Risk,REWARD: early access / loyalty perks (already staying)
12372,72,3,1298.04,2011-02-16 12:46:00,34,Other,297,432.68,0,0,0.22666666666666666,3146.7636363636357,Mid CLV,Low Risk,MONITOR: no action needed yet
12373,311,1,364.6,2011-02-01 13:10:00,14,Other,311,364.6,1,1,0.9966666666666667,423.4565378700707,Low CLV,High Risk,"DO NOT INVEST: low value, unlikely to be saved profitably"
12374,25,1,742.9300000000001,2011-11-14 15:37:00,33,Other,25,742.9300000000001,0,0,0.0033333333333333335,17830.32,High CLV,Low Risk,REWARD: early access / loyalty perks (already staying)
12375,11,2,457.5,2011-09-02 14:23:00,14,Other,98,228.75,0,0,0.42,3361.224489795918,Mid CLV,Medium Risk,MONITOR: no action needed yet
12377,315,2,1628.12,2010-12-20 09:37:00,72,Switzerland,355,814.06,1,1,0.8633333333333333,1912.4145956822015,Mid CLV,High Risk,MONITOR: no action needed yet
12378,130,1,4008.62,2011-08-02 10:34:00,219,Switzerland,130,4008.62,1,0,0.7766666666666666,14292.86761307362,High CLV,High Risk,PRIORITIZE: proactive retention offer
12379,82,2,852.24,2011-06-22 16:32:00,39,Belgium,170,426.12,0,0,0.15666666666666668,3609.487058823529,Mid CLV,Low Risk,MONITOR: no action needed yet
12380,22,4,2724.81,2011-06-07 09:49:00,77,Belgium,186,681.2025,0,0,0.08333333333333333,10547.651612903224,High CLV,Low Risk,REWARD: early access / loyalty perks (already staying)
